TopDepth,BottomDepth,NO3_ppb,NO3_uM,TopAge,BottomAge
2.59,3.79,140.131,2.2602,-36.3,-34.3
3.79,4.79,158.113,2.5502,-34.3,-32.8
4.79,5.79,117.809,1.9001,-32.8,-30.5
5.79,6.08,138.271,2.2302,-30.5,-29.9
6.08,7.21,146.332,2.3602,-29.9,-27.7
7.21,8.11,130.83,2.1102,-27.7,-26.2
8.11,9.12,103.548,1.6701,-26.2,-24.2
9.12,9.85,107.889,1.7401,-24.2,-22.1
9.85,10.29,199.656,3.2203,-22.1,-21.3
10.29,11.09,158.113,2.5502,-21.3,-19.4
11.09,11.92,125.25,2.0202,-19.4,-17.5
11.92,12.72,113.469,1.8301,-17.5,-15.5
12.72,13.51,89.287,1.4401,-15.5,-13.5
13.51,14.3,97.968,1.5801,-13.5,-11.7
14.3,15.09,96.108,1.5501,-11.7,-9.7
15.09,15.87,94.868,1.5301,-9.7,-7.9
15.87,16.58,99.828,1.6101,-7.9,-6.3
16.58,17.33,104.168,1.6801,-6.3,-4.4
17.33,18.1,96.728,1.5601,-4.4,-2.8
18.1,18.8,63.865,1.0301,-2.8,-1.3
18.8,19.52,91.767,1.4801,-1.3,1
19.52,20.24,75.026,1.2101,1,2.7
20.24,21.02,94.868,1.5301,2.7,4.7
21.02,21.66,76.886,1.2401,4.7,6.2
21.66,22.01,84.947,1.3701,6.2,7.1
22.01,22.6,94.247,1.5201,7.1,8.3
22.6,23.4,83.087,1.3401,8.3,10.3
23.4,24.08,68.205,1.1001,10.3,12
24.08,24.29,43.403,0.7000,12,12.6
24.29,24.77,74.406,1.2001,12.6,14.3
24.77,25.45,62.005,1.0001,14.3,16
25.45,26.12,66.965,1.0801,16,17.6
26.12,26.79,74.406,1.2001,17.6,19.5
26.79,27.46,73.166,1.1801,19.5,21.1
27.46,28.42,71.926,1.1601,21.1,24
28.42,29.11,76.886,1.2401,24,26.2
29.11,29.76,80.606,1.3001,26.2,28.3
29.76,30.09,81.226,1.3101,28.3,29.2
30.09,30.41,70.686,1.1401,29.2,29.9
30.41,31.38,78.746,1.2701,29.9,33.2
31.38,32.08,85.567,1.3801,33.2,35.1
32.08,32.69,73.166,1.1801,35.1,36.6
32.69,33.29,84.327,1.3601,36.6,38.2
33.29,33.93,76.886,1.2401,38.2,40.1
